movie_id,country_id
12628,US
782,US
10871,US
10890,US
1281,GB
1281,US
9770,US
12616,US
11975,US
4995,US
9281,US
563,US
19931,US
19931,CN
10215,GB
10215,US
9823,US
37165,US
4824,US
9444,US
9414,US
8078,US
11831,US
2639,US
9574,US
489,CA
489,US
9714,US
6283,US
4233,US
10217,CA
597,US
714,GB
714,US
9922,US
184,US
115,GB
115,US
9410,US
586,US
2666,AU
2666,US
11258,DK
11258,FR
11258,NZ
11258,GB
11258,US
9490,US
25719,GB
6116,GB
9457,CA
9457,US
11702,US
12238,IT
12238,US
11003,US
10153,US
2898,US
9558,IT
9558,GB
9558,US
11808,US
42807,US
617,US
32456,US
17127,US
2157,US
29193,US
795,US
795,DE
9469,US
16148,US
10622,AU
10622,HK
10216,US
9448,US
8656,US
58680,US
18937,US
929,US
9452,US
1878,US
9844,US
1965,US
6068,US
15037,US
21334,IR
10674,US
846,CA
846,US
3050,US
1389,US
9464,US
95,US
944,US
11551,US
473,US
544,US
65203,US
33680,US
56164,US
12311,US
34106,US
43266,US
27367,US
28580,US
887,US
11426,US
654,US
15919,US
1725,US
5769,GB
874,GB
10633,US
17917,GB
3116,US
1051,US
1366,US
12102,US
9443,GB
606,US
746,FR
746,CN
746,GB
746,IT
380,US
403,US
13820,US
13597,GB
13597,US
2108,US
10014,US
10072,US
10131,US
10160,US
11284,US
4488,US
9725,US
9728,US
9730,US
9731,US
10225,US
10281,US
10283,US
948,US
11281,US
10676,US
11357,US
11361,US
36599,CA
10585,US
11186,US
11187,GB
11187,US
609,US
11133,US
10306,US
9552,US
11586,US
941,US
942,US
943,US
927,US
928,US
9340,US
9342,US
19,DE
165,US
196,US
551,US
3170,US
346,JP
859,GB
859,US
841,US
242,IT
242,US
1411,US
9769,FR
9769,US
9424,AU
9424,US
9835,US
857,US
10957,US
9570,US
9994,US
10439,US
11158,US
9354,US
9631,DE
9631,US
907,IT
907,US
11974,US
793,US
9325,US
10144,US
10414,US
12230,US
10693,US
11319,US
13155,GB
13155,US
10249,US
10882,US
24808,US
2619,US
97,US
11675,US
19158,JP
19158,US
227,US
87,US
123,US
11336,US
9980,US
10489,US
10823,US
11497,IE
11497,GB
11497,US
2907,US
9454,US
8688,CA
8688,US
23954,CA
23954,FR
396,US
16081,US
11837,GB
11704,US
11639,GB
11639,US
4978,US
11976,US
11976,GB
15144,US
8393,ZA
8393,BW
9320,US
33644,US
805,US
34584,DE
34584,US
34636,DE
34636,US
77469,US
36647,US
4011,US
5854,US
573,GB
2370,US
5780,US
506,US
22527,US
574,US
11219,US
845,US
3682,US
847,US
117,US
11462,US
10220,US
431,CA
22796,US
22256,US
12626,US
3525,US
2321,US
48311,US
11933,US
4478,US
2109,US
24746,US
8195,FR
8195,GB
8195,US
9877,CA
9877,FR
9877,US
24016,IT
24016,GB
1091,US
10403,US
162,US
8916,US
9429,US
12159,NZ
12159,US
27791,US
10156,US
10377,US
4437,US
1955,GB
1955,US
11932,CA
11932,US
6435,US
10683,US
9425,US
637,IT
20701,US
73,US
9882,US
10663,US
4518,US
3600,US
297,US
11893,IL
11893,US
14924,GB
9798,US
9487,US
666,BR
692,US
39256,US
39256,JP
244,US
10730,US
31947,US
8130,US
9749,US
14628,US
9626,NL
9626,US
10466,US
707,FR
707,IS
707,GB
707,US
9336,US
9447,AU
12257,US
10029,US
11252,US
200,US
9837,US
11545,US
1934,US
13764,US
1369,US
1368,US
1370,US
10303,US
9326,MX
9326,US
11285,US
1367,US
1371,US
1374,US
1375,US
15196,US
1885,US
8856,US
5825,US
9489,US
8741,CA
8741,US
9276,US
10312,US
9422,US
825,US
9423,US
9423,GB
9423,DE
9423,JP
9423,FR
10658,US
11815,US
9426,CA
9426,GB
9426,US
2620,US
30497,US
16337,US
16780,US
192,FR
192,IT
192,DE
10013,US
9671,AU
11873,US
10015,US
10314,US
11167,GB
2112,US
16172,US
11622,US
10207,US
9849,US
18892,US
1542,US
15256,US
8224,US
8913,US
10906,US
25748,US
10671,US
27932,US
7227,US
5919,US
10803,US
871,US
1685,US
1705,US
1688,US
1687,US
11123,US
29723,US
9535,AU
9535,US
9455,US
796,US
100,GB
30943,US
7341,US
9540,CA
9540,US
22345,US
1641,US
47288,US
16520,US
16379,US
603,AU
603,US
4951,US
8970,US
9430,US
11355,US
18764,HK
9465,US
6522,US
39964,US
1946,CA
1946,FR
1946,GB
1844,GB
1844,US
6552,US
3309,US
18462,US
8592,US
564,US
13852,AU
1893,US
1924,GB
1924,US
8536,GB
8536,US
9531,GB
9531,US
11411,GB
11411,US
138,US
3035,US
36685,GB
36685,US
30168,US
8974,US
509,GB
509,US
1090,US
817,US
37135,US
2275,DE
2275,US
24137,GB
24137,US
104,DE
9032,US
6488,US
8487,US
2105,US
10208,US
2667,US
345,GB
345,US
9825,US
16158,US
620,US
2978,US
10490,US
11618,US
1812,US
8914,AU
8914,US
9824,US
4806,US
967,US
802,GB
802,US
3175,GB
3175,US
21185,EC
21185,US
10136,US
873,US
10776,US
16406,CA
16406,FR
16406,US
10386,US
745,US
913,US
17707,US
9781,US
48781,US
48781,CA
48781,DE
29056,US
28501,US
10766,US
813,US
9406,FR
9406,GB
9406,LU
9406,NL
9406,US
11153,US
2280,US
9944,US
10342,US
10366,US
1911,US
2900,US
2162,US
14578,US
10307,US
11601,US
26522,US
14,US
24128,US
11001,DE
11001,US
9453,IT
9453,US
704,GB
24153,US
11797,US
10669,US
11527,GB
11527,US
28032,IE
28032,US
11326,GB
10398,CA
10398,US
60994,US
14429,US
15198,CA
15198,US
6415,US
24066,US
10349,US
29787,US
9638,US
10576,US
12618,US
226,US
10388,US
9346,US
861,US
9377,US
11541,AU
11541,US
11901,US
4929,US
18254,US
19997,US
17352,US
535,US
1654,GB
1654,US
658,GB
658,US
657,GB
646,GB
5689,US
391,IT
391,DE
391,ES
8052,US
772,US
31650,US
302579,US
550,DE
550,US
36819,GB
11562,US
5548,US
5549,US
856,US
699,GB
699,US
