movie_id,collection_id
4437,4438
11932,10455
4518,100286
3600,3601
39256,374511
244,135495
10730,135498
31947,135498
9749,104833
14628,104833
9626,43055
707,645
9336,9338
9447,9435
200,115570
1369,5039
1368,5039
1370,5039
10303,89264
9326,89264
11285,86307
1367,1575
1371,1575
1374,1575
1375,1575
1885,8580
8856,8580
5825,108693
11815,123213
9426,109609
30497,111751
16337,111751
16780,111751
9671,9332
11873,387219
8224,387618
8913,10789
10906,10789
25748,115225
10671,33938
27932,33938
7227,33938
871,1709
1685,1709
1705,1709
1688,1709
1687,1709
29723,33938
9535,110127
796,52789
7341,257053
603,2344
564,1733
1893,10
1924,8537
8536,8537
9531,8537
11411,8537
138,221539
3035,218406
36685,281644
817,1006
37135,106768
2105,2806
10208,256377
2667,64750
9825,97768
620,2980
2978,2980
10766,10919
813,91663
11153,108693
10366,10713
11601,143757
11797,98168
9638,47770
10576,119674
1654,124492
658,645
657,645
646,645
5689,59586
391,48317
772,9888
5548,5547
5549,5547
699,645
709,645
253,645
660,645
11377,248339
16281,107725
16288,107725
1694,98036
10228,34055
36643,645
863,10194
32669,359005
10402,95664
25188,135509
10137,99727
10471,43563
14919,421904
2005,103573
8872,8979
9869,192492
9367,9649
4234,2602
9605,338282
8374,87186
2787,2794
2069,103577
838,124950
9532,8864
13939,14377
14373,14377
24873,14377
34746,14377
1498,1582
1497,1582
1499,1582
11690,36694
990,387219
11478,8647
13665,170754
12309,466318
106,399
1359,86105
10557,159616
11977,104847
889,351684
39283,256484
10560,246839
5683,179244
9285,96679
955,87359
8584,59567
668,645
691,645
698,645
682,645
9600,44979
10911,366826
938,48317
10246,109592
19698,109592
23919,109592
169,399
10128,174245
9659,8945
8810,8945
9355,8945
10068,121195
11495,207447
482,495
479,495
15379,46512
12764,46512
16094,159600
494,495
493,495
4247,4246
36657,748
12599,34055
11940,321063
12107,86028
9383,166376
15158,47770
26515,123256
8843,223564
10643,374512
37136,37139
37137,37139
11398,25410
1588,430186
12211,8050
12212,52760
16,498
9003,8917
9064,8917
11569,8917
1597,51509
18498,44913
4327,86029
681,645
16340,57129
10481,124916
146,290973
11849,106498
708,645
10673,52783
11688,178117
1493,93220
10577,115822
15739,312735
9816,107469
90,85861
764,1960
580,2366
1547,109076
10019,124951
9740,9743
19405,421084
11454,9743
23730,257571
10054,86486
2043,142680
10991,34055
634,8936
10956,353325
9290,9332
1734,1733
808,2150
1406,150156
966,110021
10865,100965
1995,2467
10808,3169
9799,9485
10992,87014
4248,4246
11286,101688
2114,140760
8835,86024
3980,10893
10127,10893
26386,330555
12144,19163
24929,101471
10925,101471
24266,89272
1648,91746
10134,98853
10345,88735
10222,105322
9494,9521
9942,97771
331,328
10135,224976
9880,107674
5175,90863
2770,2806
8922,94899
9398,352789
10866,166378
984,10456
141,178106
585,137696
671,1241
16085,449750
10649,10456
10650,10456
8007,98513
161,304
120,119
11595,93295
9610,43055
150,93295
16690,55422
11979,217704
23479,215326
425,8354
1576,17255
36586,735
11452,43220
8346,389767
9334,116669
11470,9735
557,556
12227,178654
1894,10
15417,168182
4614,192492
2501,31562
9637,86860
11544,97461
608,86055
11442,91361
10996,99727
818,1006
9488,86486
7451,52785
9266,115839
15070,117777
9595,52988
10611,176097
4108,9518
12262,267922
9533,9743
565,14563
21925,173344
10285,9735
11009,288280
10805,288280
9012,17178
12208,645
9021,53159
672,1241
13888,59586
9538,88574
36669,645
10426,43563
14433,374386
9932,110127
201,115570
121,119
9358,8864
6038,59567
14873,97459
12139,195441
17264,405393
2671,93369
29912,366444
2662,105625
36658,748
10708,228887
604,2344
1555,239766
310,124949
12,137697
9902,52985
584,9485
10152,96665
170,1565
9471,86029
10327,86024
296,528
22,295
8961,14890
9486,86117
1996,2467
12279,86486
8273,2806
9257,221111
6466,9735
10923,91427
9362,91799
12268,937
11351,94899
11547,201576
1428,9649
8408,261590
277,2326
10438,168880
33258,124950
11059,117927
24,2883
9373,425175
4256,4246
605,2344
10147,423173
9556,45154
860,151263
8010,8050
951,397444
3176,16302
11811,19285
10028,144689
122,119
11007,114783
1954,52749
